2021/08/01 00:35:33.409 [E] [CloudStoreModel.go:416]  =====bucket===
2021/08/01 00:35:33.409 [E] [CloudStoreModel.go:417]  dochub-public
2021/08/01 00:35:33.409 [E] [CloudStoreModel.go:418]  =====bucket===
2021/08/01 00:35:33.410 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2021/08/01 00:39:15.625 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2021/08/01 00:45:09.660 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2021/08/01 00:46:36.653 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2021/08/01 00:46:46.760 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2021/08/01 00:46:48.299 [D] [Utils.go:314]  store信息：%!(EXTRA string=&{Id:6 Md5:6f213ef322785b49d39bdfabcde7e9ad Ext:doc ExtCate:word ExtNum:1 Page:1 PreviewPage:0 Size:12600 ModTime:1627749966 PreviewExt:svg Width:0 Height:0})
2021/08/01 00:46:52.321 [E] [Utils.go:376]  exit status 1
2021/08/01 00:47:36.848 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2021/08/01 00:48:20.578 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2021/08/01 00:48:33.157 [D] [Utils.go:314]  store信息：%!(EXTRA string=&{Id:7 Md5:8e1656f4bb35262894e7b51d5b1da1ee Ext:doc ExtCate:word ExtNum:1 Page:5 PreviewPage:0 Size:500709 ModTime:1627750081 PreviewExt:svg Width:0 Height:0})
2021/08/01 00:48:34.656 [E] [Utils.go:376]  exit status 1
2021/08/01 00:48:45.886 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
